"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Ascl2"	2.614985755624e-72	-0.578289574015403	0.102	0.268	4.4697951520881e-68
"Sox4"	2.73752759686938e-72	-0.876113234958302	0.184	0.347	4.67925592132882e-68
"Stard10"	1.44951475701047e-70	-0.677888061523561	0.843	0.8	2.477655574158e-66
"Itln1"	6.0366442073571e-69	-3.4618322277843	0.408	0.496	1.03184359436355e-64
"Fcgbp"	1.50373214889672e-68	-4.07027776850432	0.244	0.381	2.57032936210916e-64
"Txndc5"	7.87856612936317e-68	-1.06107975915735	0.196	0.344	1.34668330849205e-63
"Guca2b"	3.3145655660227e-64	-1.07221117101278	0.105	0.254	5.66558692200259e-60
"Gas5"	1.81994086040965e-63	-0.468963570777662	0.967	0.9	3.11082491269821e-59
"Reg1"	8.59588292851503e-61	-0.519504835490941	0.286	0.141	1.46929426897107e-56
"Ttr"	1.26335264291831e-58	-0.748728043968709	0.154	0.299	2.15944867254026e-54
"Lyz1"	6.13981902622935e-55	-3.27893399893389	0.403	0.484	1.04947926615338e-50
"2410006H16Rik"	9.03690235347895e-51	-0.626882736299331	0.795	0.734	1.54467771928016e-46
"Gkn3"	6.73638419494031e-50	-0.759232318177425	0.143	0.271	1.15145015044115e-45
"Ang"	1.19307671831516e-49	-0.525622360086974	0.131	0.261	2.03932603461611e-45
